Id,Prediction
0,negative
1,negative
2,positive
3,positive
4,negative
5,positive
6,positive
7,negative
8,negative
9,negative
10,negative
11,negative
12,negative
13,negative
14,negative
15,negative
16,positive
17,positive
18,negative
19,negative
20,negative
21,positive
22,positive
23,positive
24,negative
25,negative
26,positive
27,positive
28,negative
29,positive
30,positive
31,positive
32,positive
33,negative
34,positive
35,negative
36,negative
37,positive
38,negative
39,negative
40,negative
41,positive
42,negative
43,positive
44,positive
45,positive
46,positive
47,negative
48,positive
49,positive
50,positive
51,negative
52,positive
53,negative
54,positive
55,negative
56,negative
57,positive
58,positive
59,negative
60,positive
61,positive
62,negative
63,negative
64,positive
65,negative
66,negative
67,positive
68,negative
69,negative
70,positive
71,negative
72,positive
73,positive
74,positive
75,positive
76,negative
77,negative
78,negative
79,negative
80,negative
81,positive
82,positive
83,negative
84,negative
85,negative
86,positive
87,negative
88,positive
89,positive
90,positive
91,positive
92,negative
93,negative
94,negative
95,positive
96,positive
97,positive
98,positive
99,positive
100,positive
101,positive
102,positive
103,positive
104,negative
105,negative
106,negative
107,negative
108,negative
109,negative
110,negative
111,negative
112,negative
113,negative
114,negative
115,positive
116,positive
117,positive
118,positive
119,negative
120,negative
121,positive
122,positive
123,positive
124,negative
125,negative
126,positive
127,positive
128,negative
129,positive
130,positive
131,negative
132,positive
133,positive
134,negative
135,negative
136,positive
137,negative
138,positive
139,positive
140,negative
141,positive
142,negative
143,positive
144,positive
145,positive
146,negative
147,positive
148,negative
149,positive
150,negative
151,negative
152,negative
153,negative
154,positive
155,negative
156,negative
157,negative
158,negative
159,negative
160,positive
161,positive
162,negative
163,negative
164,positive
165,positive
166,negative
167,negative
168,positive
169,positive
170,negative
171,negative
172,positive
173,positive
174,negative
175,positive
176,negative
177,positive
178,negative
179,positive
180,negative
181,positive
182,positive
183,negative
184,positive
185,negative
186,positive
187,negative
188,negative
189,positive
190,negative
191,positive
192,positive
193,negative
194,positive
195,negative
196,negative
197,positive
198,negative
199,negative
200,negative
201,negative
202,negative
203,positive
204,positive
205,positive
206,negative
